REGISTRY,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85,N_unk
101200199,1, 1,19,0,0,0,1,0,1,1,2,1,2,0,2,3,2,2,1,0,1,0
101200199,1, 2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
101200199,1, 3,7,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,0
101200199,1, 4,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
101200199,1, 5,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0
101200199,1, 6,5,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
101200199,1, 7,156,1,1,7,2,6,5,6,16,13,33,24,12,5,6,8,7,3,1,0
101200199,1, 8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
101200199,1, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101200199,1,10,17,0,0,0,0,0,0,3,1,0,1,2,2,2,0,0,3,3,0,0
101200199,1,11,128,0,0,0,1,1,3,6,5,3,13,13,14,17,12,14,15,6,5,0
101200199,1,12,7,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0,0,0
101200199,1,13,125,0,0,0,3,4,2,5,6,10,5,12,16,13,15,12,11,5,6,0
101200199,1,14,117,0,0,1,2,3,4,6,7,8,5,16,14,13,11,15,7,4,1,0
101200199,1,15,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
101200199,1,16,29,0,0,0,0,0,0,0,1,0,0,2,4,4,4,7,5,2,0,0
101200199,1,17,31,0,0,0,0,0,0,0,0,2,1,3,7,2,5,2,4,3,2,0
101200199,1,18,36,0,0,0,1,0,0,1,0,2,1,3,6,3,5,5,5,0,4,0
101200199,1,19,14,0,0,0,1,0,0,0,2,0,0,1,3,1,1,2,1,1,1,0
101200199,1,20,119,0,0,0,0,1,1,5,3,6,11,17,14,9,12,18,10,11,1,0
101200199,1,21,412,0,0,0,3,1,2,11,21,9,29,52,50,70,54,55,31,19,5,0
101200199,1,22,31,0,0,0,1,0,1,0,1,2,2,2,1,6,2,5,3,4,1,0
101200199,1,23,49,1,1,5,7,6,0,6,3,3,2,1,4,3,1,4,1,0,1,0
101200199,1,24,7,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,0,0
101200199,1,25,112,0,1,0,0,1,2,4,1,5,7,8,13,10,8,14,11,15,12,0
101200199,1,26,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
101200199,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101200199,1,28,21,1,0,0,2,2,1,1,0,1,1,3,2,2,0,2,2,0,1,0
101200199,1,29,37,0,0,0,0,0,1,5,5,2,7,3,5,0,3,2,2,1,1,0
101200199,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101200199,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101200199,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101200199,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
