REGISTRY,SEX,AGE_GROUPS,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85,P_unk
101200199,1,16,279377,259962,280726,338057,367163,341413,280809,220833,176887,151974,123872,98670,59989,41303,38654,58885,0,0,0
101200199,2,16,263105,247079,267080,321907,350207,327421,271908,214591,172801,150313,121188,93566,62372,49045,45806,65590,0,0,0
101200399,1,16,300292,260233,305477,347657,338002,282582,218117,174979,154664,136651,110090,88675,53498,48356,39705,58531,0,0,0
101200399,2,16,284900,249660,292453,334301,328725,271638,217611,180110,160956,142956,111205,83725,54288,49574,41371,57232,0,0,0
140400299,1,16,996905,759500,599755,578860,1055445,1172980,913115,672295,445545,329505,208410,121520,75305,36790,22310,28860,0,0,0
140400299,2,16,988900,774885,635070,771460,1331535,1140785,707530,475865,287460,205510,124470,74905,50525,28320,21200,38470,0,0,0
169000099,1,16,14113,13037,12799,15093,15405,14820,14956,15344,13358,13562,11314,7631,5353,3900,2930,3854,0,0,0
169000099,2,16,14146,12892,12131,13795,12849,13301,14350,14410,13773,13580,10476,7436,5598,4392,4407,8006,0,0,0
171000199,1,16,367614,362525,376551,368823,218302,145987,103953,86364,69756,66412,69378,59591,56041,40777,37305,44358,0,0,0
171000199,2,16,359555,354724,352632,359878,235146,171640,137602,132344,128543,121206,118452,93965,88026,67612,66810,105173,0,0,0
180000299,1,16,808064,706351,617588,597690,689728,610196,449551,274251,204526,119598,83854,44639,38770,22128,17811,33183,0,0,0
180000299,2,16,795943,725158,740295,818162,915445,663556,398930,260288,189586,110896,84611,44769,46612,25289,27693,49483,0,0,0
171600270,1,16,292946,212015,199883,195992,234476,254771,212769,163673,120498,68792,50323,39978,26548,16392,11913,14856,0,0,0
171600270,2,16,295150,221182,219317,266089,293643,279104,203076,143619,95841,64406,54819,39069,26311,17942,12816,18321,0,0,0
203201199,1,17,271001,255006,285384,289371,260511,221975,190100,153316,140126,138100,125671,108240,81234,58726,44096,29693,22211,0,0
203201199,2,17,261760,245924,274750,278714,249639,217916,191962,158009,143028,139168,127745,107154,81959,67382,57514,42931,35828,0,0
203200599,1,17,188142,190827,198340,192668,172467,159065,154399,137761,120608,114019,104347,95332,80803,63329,46465,31867,29718,0,0
203200599,2,17,177107,181200,192129,187150,169508,159235,156758,139629,123669,119131,111499,101227,89447,75272,62358,51178,67345,0,0
203200699,1,17,281002,271241,274157,293449,318053,302318,271189,224450,183247,171339,156187,144461,124287,94611,71134,52742,50593,0,0
203200699,2,17,266042,260038,265311,293665,329630,310402,276631,234314,199057,191149,180697,173143,154750,126795,101894,87667,115954,0,0
203200799,1,18,390230,375135,399733,405633,371995,348040,305062,259235,228549,217788,205997,192033,157511,123107,94194,73332,53414,28200,0
203200799,2,18,374817,364043,387527,395636,366842,348257,314962,275161,246547,238090,225435,215365,180619,147572,117726,99808,83740,49465,0
203200899,1,18,31325,33450,30885,30045,28590,29305,29755,25160,21920,22740,19440,13445,8710,5120,3155,1790,835,505,0
203200899,2,18,29385,31780,29695,28730,26670,28065,28425,24495,21610,21715,17315,12235,8155,5230,3565,2400,1585,1075,0
207601199,1,18,107054,108817,116861,119212,135754,135669,117220,97576,87850,76638,62534,48327,36309,23868,16193,9638,6492,4773,0
207601199,2,18,103578,107099,115838,124725,147904,155044,139312,117568,108215,95438,77722,63471,48472,34273,26011,18564,13299,11919,0
207601299,1,18,225650,254440,278159,295529,321429,337479,315469,272357,252036,226682,190820,153483,112532,76369,54908,36004,20994,13240,0
207601299,2,18,218393,246093,270095,290367,323917,349071,331923,295577,282254,269269,232263,190122,144690,104032,80296,59827,39998,29986,0
207600599,1,18,36034,41231,44693,49428,57760,62148,55180,45950,41937,40965,34628,28310,21198,13861,9880,6227,3648,2410,0
207600599,2,18,34218,39677,43477,48363,56730,63281,56961,48324,46623,46820,40209,33772,25171,17252,13410,9674,6479,5820,0
207600299,1,17,221377,233950,252027,273064,311081,322149,293611,241638,215290,190788,158662,123454,91176,62830,45333,27846,28319,0,0
207600299,2,17,213615,227358,250084,277984,326818,348189,319609,269287,249606,227849,193622,154697,116129,81371,62651,42510,47310,0,0
207601799,1,18,21696,23300,24613,25308,28364,30199,28232,24798,23156,22810,20606,16541,12200,8353,6992,4994,3246,1891,0
207601799,2,18,20375,22200,23787,24993,27884,30228,27675,25080,24543,24130,22074,17880,13375,10453,8808,7333,5085,3244,0
207602099,1,18,19747,21146,22999,24083,26231,27411,25088,21774,20299,19250,17697,15347,11788,8232,6260,4154,2672,1509,0
207602099,2,18,19134,20514,22485,23154,25789,27173,25922,23330,22150,21534,20141,17474,13090,9770,7782,5689,3855,3037,0
215200399,1,17,70143,67082,71866,72857,77958,75776,73760,72951,69384,65003,55864,41901,29025,18856,12392,8151,6552,0,0
215200399,2,17,67548,63568,68737,70254,67788,64361,64379,60680,56687,55491,48256,36898,27788,20613,15451,11674,12418,0,0
215200299,1,17,70277,72987,80112,83193,78115,69546,64950,66407,70408,67071,58444,49775,40999,31532,23649,15394,15614,0,0
215200299,2,17,68981,71284,77802,80864,78358,72483,66993,66443,69135,65430,57449,47573,40069,33571,25020,18591,22274,0,0
215200599,1,17,100992,105878,120775,143509,145814,115057,98826,105395,112035,107701,89992,69431,53251,40683,29301,18577,16318,0,0
215200599,2,17,95408,102181,116746,137524,142250,116009,103330,113432,120285,114541,98035,78108,62340,50042,39759,28565,32973,0,0
215200199,1,17,68656,69929,78222,87799,81822,71360,62140,62443,66009,69757,59642,47491,37430,29813,22031,16149,15826,0,0
215200199,2,17,66204,67315,75193,82764,77271,69987,62361,62816,65505,67951,59064,48155,40761,33822,27279,21274,22792,0,0
217000199,1,18,451637,458188,492570,511873,498362,467978,417289,372166,360568,340255,277699,217519,165226,121253,90222,62365,36859,25547,0
217000199,2,18,431269,448157,478838,495448,497408,496320,454424,412759,417168,405452,346287,275745,210601,158558,130315,94964,55559,46627,0
217000299,1,17,209802,220622,242117,248297,241854,232651,199973,174689,172232,162794,131362,102526,78846,59512,43995,29762,28716,0,0
217000299,2,17,200013,212237,232351,252984,242868,237381,211964,195540,201274,192437,158112,125311,99182,76806,61734,45583,51659,0,0
217000399,1,17,68180,70127,76849,85701,99823,80370,63297,54748,58411,59786,54810,46359,35392,25159,18321,12619,13868,0,0
217000399,2,17,65392,67950,73395,82865,93848,81362,68430,64396,73643,74397,69797,59183,43970,32797,26159,19278,21547,0,0
217000499,1,18,82383,86442,94222,95844,92749,92172,80338,66566,66083,57652,45990,36250,29601,22617,16665,11657,6992,4828,0
217000499,2,18,78967,86628,94084,90869,93167,96212,87402,79677,78041,68491,56135,44625,34555,27430,21256,16484,9889,5372,0
218800099,1,18,722958,767632,834411,880668,896740,823255,726394,634107,633973,596368,493769,372234,269022,191754,143583,100524,65026,47755,0
218800099,2,18,689098,729408,790294,833528,853785,784282,690599,608927,613405,582059,484777,372925,275563,203735,158036,119139,82364,67455,0
221800299,1,16,120805,123110,126775,131275,124410,109295,85870,70295,59320,54985,45855,38430,31915,24850,18395,31900,0,0,0
221800299,2,16,117170,120365,124935,129445,130790,119860,100875,87350,77970,70835,59325,48155,39415,33430,25180,45340,0,0,0
221800399,1,18,542214,549460,569830,532028,526557,507033,478142,404037,360360,337363,279010,228116,159231,117777,83994,59186,41850,35439,0
221800399,2,18,563826,571360,592543,553233,547545,527243,497200,420141,374722,350809,290132,237209,165579,122472,87342,61545,43518,36851,0
221800499,1,18,31474,32340,32912,32223,27840,23858,18827,16765,15026,14334,12261,10579,8399,6959,5084,3091,2263,2404,0
221800499,2,18,30881,32031,33141,32605,30195,25613,21551,19019,17314,16392,13555,11637,9353,7887,5844,3835,2778,3118,0
221800599,1,18,381445,386638,383910,342187,301189,270675,247933,221871,200161,177053,151095,123592,97175,74728,58135,41930,25597,21157,0
221800599,2,18,367340,370820,369398,335092,297916,270112,246653,221143,195884,172031,146465,119534,93202,73224,56927,42640,23265,29314,0
221800199,1,18,366991,373438,368997,366038,388410,375446,322480,270068,231035,210866,172684,142002,108065,82124,56710,38871,27100,21105,0
221800199,2,18,353132,365564,359468,371934,406024,396467,344687,302523,261053,244528,198517,162784,125407,98634,70441,50848,38236,33626,0
225009199,1,18,59197,65868,70200,71741,55193,42395,43492,58121,69087,73247,66758,57164,49133,38886,33619,25238,16797,13484,0
225009199,2,18,57818,65582,67870,71530,55881,52537,59298,77525,87376,88677,76730,67756,57266,45585,41118,33438,25614,27618,0
225009499,1,18,72029,69457,62956,52086,38838,40884,39185,40783,37102,31863,27073,20590,14102,9169,5283,3550,2275,1437,0
225009499,2,18,69600,67857,58946,52422,42786,46784,43792,43108,37550,32027,26097,19748,13273,8739,6619,4446,3000,3118,0
238800199,1,18,90704,94824,126774,131132,130427,116196,91980,84959,90344,78685,62698,48807,41538,28694,21237,16323,10850,8002,0
238800199,2,18,87521,93345,122665,129646,136703,125062,101474,97984,96641,107887,70560,48926,42458,30252,23702,20587,16546,18064,0
260400299,1,18,1202501,1197509,1194767,1308202,1252651,1199885,1160950,993353,893967,805570,648233,518712,403287,306052,229741,158389,77201,58567,0
260400299,2,18,1151341,1143614,1155912,1332438,1303068,1279972,1249642,1063947,948047,860533,719108,589392,460392,356854,278883,206978,106828,98271,0
263000099,1,18,574685,627535,702881,728330,675834,627207,618586,598917,593362,589402,559308,517482,492965,406170,312694,222289,143751,123978,0
263000099,2,18,549512,597617,669030,699943,669694,650674,662040,642410,652502,673310,653182,617160,588433,489448,382483,291573,207196,208932,0
285800099,1,18,608361,648498,687113,670757,632407,600962,603323,560844,511846,507226,477008,412309,351806,297576,240672,188253,122470,80592,0
285800099,2,18,581156,620958,660789,650397,619762,600372,614719,576891,538879,539639,513758,455822,405757,363892,325542,290530,220285,195766,0
312400199,1,18,623684,561269,576589,636438,728127,810491,752452,707985,695012,753427,723900,583950,439507,302023,219428,173094,118127,81079,0
312400199,2,18,591995,530944,544638,604989,689422,758842,704567,657459,648707,707437,676892,553061,434529,313313,243081,203697,161186,167025,0
312400299,1,18,567907,567095,634141,734868,768868,773959,730777,741522,800880,880331,861344,778688,681073,505646,377738,299172,206206,153504,0
312400299,2,18,531005,533526,591215,672305,744488,778094,734010,755893,818412,898686,878569,782444,682700,518097,401184,329896,266313,287176,0
312400399,1,18,200217,195321,208173,225296,220560,209155,199521,201074,208371,235006,226969,195694,164183,120422,88999,70914,51562,42347,0
312400399,2,18,192552,185075,196475,215451,215087,207410,200415,200091,207008,232989,223636,198646,168373,126320,99627,87460,76133,92793,0
312400599,1,18,92576,94518,106390,121014,122841,115124,113152,122507,132731,151819,151608,141450,126982,93052,66552,48175,32110,24719,0
