REGISTRY,SEX,CANCER,TOTAL,N0_14,N15_29,N30_44,N45_64,N65
101200199,1,1,19,0,2,4,7,6
101200199,1,2,3,0,0,1,1,1
101200199,1,3,7,0,1,2,1,3
101200199,1,4,3,0,0,2,1,0
101200199,1,5,6,0,0,1,1,4
101200199,1,6,5,1,0,1,3,0
101200199,1,7,156,9,13,35,74,25
101200199,1,8,2,0,0,0,2,0
101200199,1,9,0,0,0,0,0,0
101200199,1,10,17,0,0,4,7,6
101200199,1,11,128,0,5,14,57,52
101200199,1,12,7,0,0,1,1,5
101200199,1,13,125,0,9,21,46,49
101200199,1,14,117,1,9,21,48,38
101200199,1,15,3,0,0,1,1,1
101200199,1,16,29,0,0,1,10,18
101200199,1,17,31,0,0,2,13,16
101200199,1,18,36,0,1,3,13,19
101200199,1,19,14,0,1,2,5,6
101200199,1,20,119,0,2,14,51,52
101200199,1,21,412,0,6,41,201,164
101200199,1,22,31,0,2,3,11,15
101200199,1,23,49,7,13,12,10,7
101200199,1,24,7,0,0,1,2,4
101200199,1,25,112,1,3,10,38,60
101200199,1,26,2,0,0,0,1,1
101200199,1,27,1,0,0,0,0,1
101200199,1,28,21,1,5,2,8,5
101200199,1,29,37,0,1,12,15,9
101200199,1,30,0,0,0,0,0,0
101200199,1,31,0,0,0,0,0,0
101200199,1,32,0,0,0,0,0,0
101200199,1,33,0,0,0,0,0,0
101200199,1,34,0,0,0,0,0,0
101200199,1,35,0,0,0,0,0,0
101200199,1,36,0,0,0,0,0,0
101200199,1,37,0,0,0,0,0,0
101200199,1,38,0,0,0,0,0,0
101200199,1,39,162,0,1,0,39,122
101200199,1,40,12,2,5,1,2,2
101200199,1,41,0,0,0,0,0,0
101200199,1,42,20,1,0,4,10,5
101200199,1,43,0,0,0,0,0,0
101200199,1,44,0,0,0,0,0,0
101200199,1,45,194,0,0,7,75,112
101200199,1,46,0,0,0,0,0,0
101200199,1,47,6,2,0,1,1,2
101200199,1,48,76,12,10,16,26,12
101200199,1,49,36,1,5,7,12,11
101200199,1,50,3,2,0,1,0,0
101200199,1,51,0,0,0,0,0,0
101200199,1,52,57,3,27,11,12,4
101200199,1,53,150,6,24,39,39,42
101200199,1,54,0,0,0,0,0,0
101200199,1,55,29,0,0,3,19,7
101200199,1,56,43,1,13,8,11,10
101200199,1,57,65,0,16,10,18,21
101200199,1,58,1,0,0,0,1,0
101200199,1,59,0,0,0,0,0,0
101200199,1,60,0,0,0,0,0,0
101200199,1,61,83,0,6,12,30,35
101200199,1,62,2436,50,180,331,923,952
101200199,1,63,2324,49,177,321,885,892
101200199,2,1,3,0,0,0,0,3
101200199,2,2,9,0,3,3,2,1
101200199,2,3,6,1,0,0,3,2
101200199,2,4,8,0,1,3,3,1
101200199,2,5,0,0,0,0,0,0
101200199,2,6,3,0,3,0,0,0
101200199,2,7,69,3,7,22,30,7
101200199,2,8,1,0,1,0,0,0
101200199,2,9,3,0,0,0,0,3
101200199,2,10,17,0,0,4,6,7
101200199,2,11,64,0,4,10,26,24
101200199,2,12,9,0,0,0,4,5
101200199,2,13,151,1,7,26,71,46
101200199,2,14,106,0,3,21,45,37
101200199,2,15,4,0,1,0,2,1
101200199,2,16,26,0,0,3,14,9
101200199,2,17,109,0,1,10,64,34
101200199,2,18,17,0,1,3,6,7
101200199,2,19,19,0,0,3,8,8
101200199,2,20,18,1,3,4,3,7
101200199,2,21,104,0,1,15,46,42
101200199,2,22,23,0,3,5,8,7
