REGISTRY,SEX,AGE_GROUPS,TOTAL,P0_14,P15_29,P30_44,P45_64,P65
101200199,1,16,3118574,820065,1046633,678529,434505,138842
101200199,2,16,3023979,777264,999535,659300,427439,160441
101200399,1,16,2917509,866002,968241,547760,388914,146592
101200399,2,16,2860705,827013,934664,558677,392174,148177
140400299,1,16,8017100,2356160,2807285,2030955,734740,87960
140400299,2,16,7656890,2398855,3243780,1470855,455410,87990
169000099,1,16,177469,39949,45318,43658,37860,10684
169000099,2,16,175542,39169,39945,42533,37090,16805
171000199,1,16,2473737,1106690,733112,260073,251422,122440
171000199,2,16,2893308,1066911,766664,398489,421649,239595
180000299,1,16,5317928,2132003,1897614,928328,286861,73122
180000299,2,16,5896716,2261396,2397163,848804,286888,102465
171600270,1,16,2115825,704844,685239,496940,185641,43161
171600270,2,16,2250705,735649,838836,442536,184605,49079
203201199,1,17,2674761,811391,771857,483542,453245,154726
203201199,2,17,2681383,782434,746269,492999,456026,203655
203200599,1,17,2080157,577309,524200,412768,394501,171379
203200599,2,17,2163842,550436,515893,420056,421304,256153
203200699,1,17,3284460,826400,913820,678886,596274,269080
203200699,2,17,3567139,791391,933697,710002,699739,432310
203200799,1,18,4229188,1165098,1125668,792846,773329,372247
203200799,2,18,4431612,1126387,1110735,836670,859509,498311
203200899,1,18,336175,95660,87940,76835,64335,11405
203200899,2,18,322130,90860,83465,74530,59420,13855
207601199,1,18,1310785,332732,390635,302646,223808,60964
207601199,2,18,1508452,326515,427673,365095,285103,104066
207601299,1,18,3437580,758249,954437,839862,683517,201515
207601299,2,18,3758173,734581,963355,909754,836344,314139
207600599,1,18,595488,121958,169336,143067,125101,36026
207600599,2,18,636261,117372,168374,151908,145972,52635
207600299,1,17,3092595,707354,906294,750539,564080,164328
207600299,2,17,3408689,691057,952991,838502,692297,233842
207601799,1,18,327299,69609,83871,76186,72157,25476
207601799,2,18,339147,66362,83105,77298,77459,34923
207602099,1,18,295687,63892,77725,67161,64082,22827
