REGISTRY,country_long,country_region,star,country_name,is_national,is_national_exists,is_subset
101200399,"                                                   *Algeria, Batna (2008-2012)","Algeria, Batna",True,Algeria,0,0,1
140400299,"                                                   *Kenya, Nairobi (2008-2012)","Kenya, Nairobi",True,Kenya,0,0,1
169000099,                                                        Seychelles (2009-2012),Seychelles,False,Seychelles,1,1,0
171000199,"                                       *South Africa, Eastern Cape (2008-2012)","South Africa, Eastern Cape",True,South Africa,0,0,1
180000299,"                                          *Uganda, Kyadondo County (2008-2012)","Uganda, Kyadondo County",True,Uganda,0,0,1
171600270,"                                        *Zimbabwe, Harare: African (2010-2012)","Zimbabwe, Harare: African",True,Zimbabwe,0,0,1
203201199,"                                                  Argentina, Chaco (2008-2012)","Argentina, Chaco",False,Argentina,0,0,1
203200599,"                                    Argentina, Entre Rios Province (2008-2011)","Argentina, Entre Rios Province",False,Argentina,0,0,1
203200699,"                                                Argentina, Córdoba (2008-2012)","Argentina, Córdoba",False,Argentina,0,0,1
203200799,"                                                Argentina, Mendoza (2008-2012)","Argentina, Mendoza",False,Argentina,0,0,1
203200899,"                                       Argentina, Tierra del Fuego (2008-2012)","Argentina, Tierra del Fuego",False,Argentina,0,0,1
207601199,"                                                   Brazil, Aracaju (2008-2012)","Brazil, Aracaju",False,Brazil,0,0,1
207601299,"                                                  Brazil, Curitiba (2008-2011)","Brazil, Curitiba",False,Brazil,0,0,1
207600599,"                                             Brazil, Florianopolis (2008-2010)","Brazil, Florianopolis",False,Brazil,0,0,1
207600299,"                                                  *Brazil, Goiânia (2008-2012)","Brazil, Goiânia",True,Brazil,0,0,1
207601799,"                                                       Brazil, Jau (2008-2012)","Brazil, Jau",False,Brazil,0,0,1
207602099,"                                           Brazil, Pocos de Caldas (2008-2011)","Brazil, Pocos de Caldas",False,Brazil,0,0,1
215200399,"                                     *Chile, Region of Antofagasta (2008-2010)","Chile, Region of Antofagasta",True,Chile,0,0,1
215200299,"                                           Chile, Bío Bío Province (2008-2012)","Chile, Bío Bío Province",False,Chile,0,0,1
215200599,"                                                 Chile, Concepcion (2008-2010)","Chile, Concepcion",False,Chile,0,0,1
215200199,"                                                  *Chile, Valdivia (2008-2012)","Chile, Valdivia",True,Chile,0,0,1
217000199,"                                                    Colombia, Cali (2008-2012)","Colombia, Cali",False,Colombia,0,0,1
217000299,"                                             Colombia, Bucaramanga (2008-2012)","Colombia, Bucaramanga",False,Colombia,0,0,1
217000399,"                                              *Colombia, Manizales (2008-2012)","Colombia, Manizales",True,Colombia,0,0,1
217000499,"                                                   Colombia, Pasto (2008-2012)","Colombia, Pasto",False,Colombia,0,0,1
218800099,                                                        Costa Rica (2008-2011),Costa Rica,False,Costa Rica,1,1,0
221800299,"                                                   Ecuador, Cuenca (2008-2012)","Ecuador, Cuenca",False,Ecuador,0,0,1
221800399,"                                                Ecuador, Guayaquil (2008-2012)","Ecuador, Guayaquil",False,Ecuador,0,0,1
221800499,"                                                    *Ecuador, Loja (2008-2010)","Ecuador, Loja",True,Ecuador,0,0,1
221800599,"                                                  *Ecuador, Manabi (2008-2012)","Ecuador, Manabi",True,Ecuador,0,0,1
221800199,"                                                    Ecuador, Quito (2008-2012)","Ecuador, Quito",False,Ecuador,0,0,1
225009199,"                                               *France, Martinique (2008-2012)","France, Martinique",True,France,0,0,1
525000199,"                                                 *France, Bas-Rhin (2008-2011)","France, Bas-Rhin",True,France,0,0,1
525000299,"                                                 *France, Calvados (2008-2012) ","France, Calvados",True,France,0,0,1
525000399,"                                                    *France, Doubs (2008-2012) ","France, Doubs",True,France,0,0,1
525001099,"                                                  *France, Gironde (2008-2012) ","France, Gironde",True,France,0,0,1
525000499,"                                                *France, Haut-Rhin (2008-2012)","France, Haut-Rhin",True,France,0,0,1
525000899,"                                                  *France, Hérault (2008-2012)","France, Hérault",True,France,0,0,1
525000599,"                                                    *France, Isère (2008-2012)","France, Isère",True,France,0,0,1
525001899,"                                          *France, Lille-Métropole (2008-2012)","France, Lille-Métropole",True,France,0,0,1
525000999,"                                                 *France, Limousin (2009-2012)","France, Limousin",True,France,0,0,1
525001499,"                                         *France, Loire-Atlantique (2008-2012)","France, Loire-Atlantique",True,France,0,0,1
525001699,"                                                   *France, Manche (2008-2011)","France, Manche",True,France,0,0,1
525000699,"                                                    *France, Somme (2008-2012)","France, Somme",True,France,0,0,1
525000799,"                                                     *France, Tarn (2008-2012)","France, Tarn",True,France,0,0,1
525001199,"                                    *France, Territoire de Belfort (2008-2012)","France, Territoire de Belfort",True,France,0,0,1
525001799,"                                                   *France, Vendée (2008-2012)","France, Vendée",True,France,0,0,1
225009499,                                                    *French Guiana (2008-2012),French Guiana,True,French Guiana,1,1,0
238800199,"                                  *Jamaica, Kingston and St Andrew (2008-2011)","Jamaica, Kingston and St Andrew",True,Jamaica,0,0,1
260400299,"                                                       *Peru, Lima (2010-2012)","Peru, Lima",True,Peru,0,0,1
263000099,"                                                  USA, Puerto Rico (2008-2012)","USA, Puerto Rico",False,United States,0,0,1
384000010,                                                        USA: White (2008-2012),USA: White,False,United States,0,0,1
384000030,                                                        USA: Black (2008-2012),USA: Black,False,United States,0,0,1
384008099,"                                                         USA, NPCR (2008-2012)","USA, NPCR",False,United States,0,0,1
384008010,"                                                  USA, NPCR: White (2008-2012)","USA, NPCR: White",False,United States,0,0,1
384008030,"                                                  USA, NPCR: Black (2008-2012)","USA, NPCR: Black",False,United States,0,0,1
384008029,"                             USA, NPCR: Asian and Pacific Islander (2008-2012)","USA, NPCR: Asian and Pacific Islander",False,United States,0,0,1
384008042,"                         USA, NPCR: American Indian/Alaska Natives (2008-2012)","USA, NPCR: American Indian/Alaska Natives",False,United States,0,0,1
384002499,"                                         USA, SEER (18 registries) (2008-2012)","USA, SEER",False,United States,0,0,1
384002410,"                                 *USA, SEER (18 registries): White (2008-2012)","USA, SEER",True,United States,0,0,1
384002460,"                    *USA, SEER (18 registries): Non-Hispanic White (2008-2012)","USA, SEER",True,United States,0,0,1
384002450,"                        *USA, SEER (18 registries): Hispanic White (2008-2012)","USA, SEER",True,United States,0,0,1
384002430,"                                 *USA, SEER (18 registries): Black (2008-2012)","USA, SEER",True,United States,0,0,1
384002429,"            *USA, SEER (18 registries): Asian and Pacific Islander (2008-2012)","USA, SEER",True,United States,0,0,1
384002099,"                                          USA, SEER (9 registries) (2008-2012)","USA, SEER",False,United States,0,0,1
384002010,"                                  *USA, SEER (9 registries): White (2008-2012)","USA, SEER",True,United States,0,0,1
384002030,"                                  *USA, SEER (9 registries): Black (2008-2012)","USA, SEER",True,United States,0,0,1
384005199,"                                                      USA, Alabama (2008-2012)","USA, Alabama",False,United States,0,0,1
384005110,"                                               USA, Alabama: White (2008-2012)","USA, Alabama: White",False,United States,0,0,1
384005130,"                                               USA, Alabama: Black (2008-2012)","USA, Alabama: Black",False,United States,0,0,1
384005099,"                                                       USA, Alaska (2008-2012)","USA, Alaska",False,United States,0,0,1
384005042,"                                       USA, Alaska: Alaska Natives (2008-2012)","USA, Alaska: Alaska Natives",False,United States,0,0,1
384005299,"                                                      USA, Arizona (2008-2012)","USA, Arizona",False,United States,0,0,1
384005210,"                                               USA, Arizona: White (2008-2012)","USA, Arizona: White",False,United States,0,0,1
384005230,"                                               USA, Arizona: Black (2008-2012)","USA, Arizona: Black",False,United States,0,0,1
384005242,"                                     USA, Arizona: American Indian (2008-2012)","USA, Arizona: American Indian",False,United States,0,0,1
384004099,"                                                     USA, Arkansas (2008-2012)","USA, Arkansas",False,United States,0,0,1
384004010,"                                              USA, Arkansas: White (2008-2012)","USA, Arkansas: White",False,United States,0,0,1
384004030,"                                              USA, Arkansas: Black (2008-2012)","USA, Arkansas: Black",False,United States,0,0,1
384002599,"                                                   USA, California (2008-2012)","USA, California",False,United States,0,0,1
384002510,"                                            USA, California: White (2008-2012)","USA, California: White",False,United States,0,0,1
384002530,"                                            USA, California: Black (2008-2012)","USA, California: Black",False,United States,0,0,1
384002542,"                                  USA, California: American Indian (2008-2012)","USA, California: American Indian",False,United States,0,0,1
