country_name,P0_14,P15_29,P30_44,P45_64,P65,TOTAL_POP,N0_14,N15_29,N30_44,N45_64,N65,TOTAL_CASES,Incidence Per Capita,Entity,Code,Year,Consumption,Continent
Algeria,338603.0,380581.0,221287.4,156217.6,58953.8,1155642.8,73.2,150.2,389.0,900.6,793.4,2306.4,0.0019957723961071708,Algeria,DZA,2008,0.2,Africa
Argentina,1363473.2,1362708.8,995826.8,955536.3999999999,476624.2,5154169.4,505.79999999999995,1072.2,3325.0000000000005,14384.2,19659.6,38946.799999999996,0.0075563678601638495,Argentina,ARG,2008,3.16,South America
Australia,4999918.4,5577377.0,5553157.8,6588836.2,3567685.4000000004,26286974.8,2321.8,7039.799999999999,26538.8,149071.2,240196.4,425168.0,0.01617409394709048,Australia,AUS,2008,4.69,NA
Austria,1242177.8,1570187.8,1820801.4,2260183.4,1474437.2,8367787.6,552.6,1666.8,6745.8,38611.2,69033.6,116610.0,0.013935583164180698,Austria,AUT,2008,6.4,Eastern Europe
Bahrain,180708.6,161927.0,110782.4,92510.2,23760.8,569689.0,61.2,86.6,234.4,715.2,545.8,1643.2,0.0028843807761778795,Bahrain,BHR,2008,0.47,NA
Belarus,1418105.4,2122244.6,2010750.4,2609072.4,1332427.2,9492600.0,625.6,2124.2,8004.4,49197.0,57786.8,117738.0,0.012403135073636306,Belarus,BLR,2008,2.54,Eastern Europe
Belgium,1835484.0,2002990.6,2243595.0,2902555.4,1864788.0,10849413.0,903.4,2725.6,12276.6,76408.6,137359.2,229673.4,0.021169200582556863,Belgium,BEL,2008,5.04,Western Europe
Brazil,810362.7999999999,1050782.4,918684.0000000001,768431.7999999999,256174.8,3804435.8000000003,349.19999999999993,996.8,3726.0,14200.8,15864.4,35161.799999999996,0.009242316561104802,Brazil,BRA,2008,3.84,South America
Brunei,54589.6,53537.8,37166.4,31178.8,7988.2,184460.8,18.0,55.4,149.4,385.4,341.2,949.4,0.005146892998403997,Brunei,BRN,2008,0.59,NA
Bulgaria,1007646.6,1424260.8,1625953.2,2074335.4,1347210.2,7479406.2,380.8,1199.2,6327.0,39193.0,54421.0,101521.0,0.013573403728226446,Bulgaria,BGR,2008,4.41,Eastern Europe
Canada,4401185.0,5376901.199999999,5415982.0,7293994.800000001,3608129.0,26096192.000000004,2187.4,6128.6,22902.4,143358.19999999998,223497.00000000003,398083.2,0.015254455515961867,Canada,CAN,2008,4.2,Northern America
Chile,383577.2,432543.80000000005,367350.80000000005,378137.2,147391.2,1709000.2000000002,160.2,357.8,1032.4,4240.4,6904.2,12695.0,0.007428319786036303,Chile,CHL,2008,2.43,South America
China,7593765.400000002,14168082.799999997,14880224.8,18674988.600000005,7649811.199999998,62966872.800000004,2472.000000000001,9227.399999999996,48444.19999999999,239324.0,285600.2,585086.4,0.009291971698489686,China,CHN,2008,1.55,Asia
Colombia,1004484.0,1101681.2000000002,886215.6,821269.4000000001,306594.8,4120245.0,426.2,860.9999999999999,2622.9999999999995,8613.8,11042.999999999998,23686.399999999998,0.005748784356270076,Colombia,COL,2008,3.06,South America
Costa Rica,906760.2,1014451.6,781481.0,689343.4,235874.2,3627910.4,408.2,932.8,2489.6,7782.4,10153.8,21766.8,0.0059998174155569,Costa Rica,CRI,2008,2.46,Northern America
Croatia,663073.2,828916.6,890425.0,1209290.2,762688.4,4365909.4,331.2,912.4,3500.0,23647.4,38175.8,66566.8,0.015246949467160266,Croatia,HRV,2008,5.01,Eastern Europe
Cyprus,141382.2,203144.2,181383.6,204149.4,106682.6,836742.0,48.6,273.6,785.4,3251.4,5008.2,9367.2,0.011194848591322058,Cyprus,CYP,2008,3.89,NA
