REGISTRY,P0_14,P15_29,P30_44,P45_64,P65,TOTAL_POP,country_region,country_name,N0_14,N15_29,N30_44,N45_64,N65,TOTAL_CASES,Incidence Per Capita,Entity,Code,Year,Consumption,Continent
101200399,338603.0,380581.0,221287.4,156217.6,58953.8,1155642.8,"Algeria, Batna",Algeria,73.2,150.2,389.0,900.6,793.4,2306.4,0.0019957723961071708,Algeria,DZA,2008.0,0.2,Africa
140400299,951003.0,1210213.0,700362.0,238030.0,35190.0,3134798.0,"Kenya, Nairobi",Kenya,270.2,450.2,1320.4,2276.0,1379.6,5696.4,0.0018171505787613746,Kenya,KEN,2008.0,1.05,Africa
169000099,15823.6,17052.6,17238.2,14990.0,5497.8,70602.2,Seychelles,Seychelles,2.4,10.2,28.6,162.8,173.8,377.8,0.00535110803912626,Seychelles,SYC,2008.0,4.54,NA
171000199,434720.2,299955.2,131712.4,134614.2,72407.0,1073409.0,"South Africa, Eastern Cape",South Africa,36.6,95.6,309.6,779.8,792.8,2014.4,0.0018766378891922838,South Africa,ZAF,2008.0,3.96,Africa
171600270,288098.6,304815.0,187895.2,74049.2,18448.0,873306.0,"Zimbabwe, Harare: African",Zimbabwe,106.8,214.2,805.8,1120.0,984.8,3397.8,0.003890732458038763,Zimbabwe,ZWE,2008.0,1.47,NA
180000299,878679.8,858955.4,355426.4,114749.8,35117.4,2242928.8,"Uganda, Kyadondo County",Uganda,331.0,790.0,1443.4,1356.2,792.6,4778.0,0.0021302504118721915,Uganda,UGA,2008.0,0.53,Africa
203200599,225549.0,208018.6,166564.8,163161.0,85506.4,848799.8,"Argentina, Entre Rios Province",Argentina,60.8,138.4,587.4,2794.6,4054.2,7635.4,0.008995525211009709,Argentina,ARG,2008.0,3.16,South America
203200699,323558.2,369503.4,277777.6,259202.6,140278.0,1370319.8,"Argentina, Córdoba",Argentina,146.8,306.8,935.0,4171.4,5739.2,11299.2,0.008245666449539736,Argentina,ARG,2008.0,3.16,South America
203200799,458297.0,447280.6,325903.2,326567.6,174111.6,1732160.0,"Argentina, Mendoza",Argentina,167.4,396.2,1123.2,4919.6,7355.2,13961.6,0.008060225383336412,Argentina,ARG,2008.0,3.16,South America
203200899,37304.0,34281.0,30273.0,24751.0,5052.0,131661.0,"Argentina, Tierra del Fuego",Argentina,4.2,23.8,66.4,242.4,171.6,508.4,0.0038614320109979414,Argentina,ARG,2008.0,3.16,South America
203201199,318765.0,303625.2,195308.2,181854.2,71676.2,1071228.8,"Argentina, Chaco",Argentina,126.6,207.0,613.0,2256.2,2339.4,5542.2,0.005173684650748747,Argentina,ARG,2008.0,3.16,South America
207600299,279682.2,371857.0,317808.2,251275.4,79634.0,1300256.8,"Brazil, Goiânia",Brazil,123.8,352.2,1317.4,5138.4,6289.4,13232.4,0.010176758929466855,Brazil,BRA,2008.0,3.84,South America
207600599,47866.0,67542.0,58995.0,54214.6,17732.2,246349.8,"Brazil, Florianopolis",Brazil,23.4,129.8,494.6,1729.0,1579.0,3961.8,0.01608201021474343,Brazil,BRA,2008.0,3.84,South America
207601199,131849.4,163661.6,133548.2,101782.2,33006.0,563847.4,"Brazil, Aracaju",Brazil,44.2,153.0,578.0,2028.2,1965.0,4775.2,0.008468958090433687,Brazil,BRA,2008.0,3.84,South America
207601299,298566.0,383558.4,349923.2,303972.2,103130.8,1439150.6,"Brazil, Curitiba",Brazil,138.4,305.0,1093.4,4199.2,4579.2,10315.8,0.007167978111533288,Brazil,BRA,2008.0,3.84,South America
207601799,27194.2,33395.2,30696.8,29923.2,12079.8,133289.2,"Brazil, Jau",Brazil,11.4,37.4,132.6,594.4,795.6,1571.4,0.011789402292158704,Brazil,BRA,2008.0,3.84,South America
207602099,25205.0,30768.2,27712.6,27264.2,10592.0,121542.0,"Brazil, Pocos de Caldas",Brazil,8.0,19.4,110.0,511.6,656.2,1305.2,0.010738674696812625,Brazil,BRA,2008.0,3.84,South America
